word,definition
TRAIN,"to instruct systematically, also TRAYNE [v -ED, -ING, -S]"
TRAMP,"to tread heavily [v -ED, -ING, -S]"
TRAMS,"TRAM, to travel by tramcar [v]"
TRANS,"of an isomer, having two identical groups of atoms on opposite sides of a bond [adj]"
TRANT,"to traffic in an itinerant manner; to peddle [v -ED, -ING, -S]"
TRAPE,"to walk in an aimless manner, also TRAIPSE, TRAPES, TRAPSE [v TRAPED, TRAPING, TRAPES]"
TRAPS,"TRAP, to catch in a snare [v]"
TRAPT,"TRAP, to catch in a snare [v]"
TRASH,"to wreck or vandalize [v -ED, -ING, -ES]"
TRAVE,a crossbeam or space between crossbeams [n -S]
TRAWL,"to fish by dragging a net along the bottom of the sea [v -ED, -ING, -S]"
TRAYS,"TRAY, the three in cards or dice, also TREY, TREZ [n]"
TREAT,"to deal with [v -ED, -ING, -S]"
TRECK,"to go on a journey, also TREK [v -ED, -ING, -S]"
TREED,"TREE, to drive up a tree [v]"
TREEN,"cups, dishes etc. made of wood, also TREENWARE [n -S]"
TREES,"TREE, to drive up a tree [v]"
TREKS,"TREK, to go on a journey, also TRECK [v]"
TREMS,"TREM, an electric guitar lever for producing a tremolo [n]"
TREND,"to have a tendency for [v -ED, -ING, -S]"
TRESS,"to form into long locks of hair [v -ED, -ING, -ES]"
TREWS,"full-length trousers worn by Scot regiments; close-cut tartan drawers sometimes worn under the kilt in Highland dress, also TROOZ, TROUSE [n]"
TREYS,"TREY, the three in cards or dice, also TRAY, TREZ [n]"
TRIAC,an electronic device used to control power [n -S]
TRIAD,a group of three [n -S]
TRIAL,"to make a judicial examination of [v TRIALED or TRIALLED, TRIALING or TRIALLING, TRIALS]"
TRIBE,"a group of people with common ancestry, language and culture [n -S]"
TRICE,"to haul up with a rope [v TRICED, TRICING, TRICES]"
TRICK,"to deceive [v -ED, -ING, -S]"
TRIDE,"TRY, to attempt [v]"
TRIER,"one who tries, also TRIOR, TRYER [n -S]"
TRIGO,a kind of wheat [n -S]
TRIGS,"TRIG, to make something trig [v]"
TRILD,"TRILL, to play with a tremulous sound [v]"
TRIMS,"TRIM, to cut neatly [v]"
TRINE,"to place in a particular astrological position [v TRINED, TRINING, TRINES]"
TRINS,"TRIN, a triplet by birth [n]"
TRIOL,a chemical compound containing three hydroxyl group [n -S]
TRIPE,a part of the stomach of a ruminant used as food [n -S]
TRIPS,"TRIP, to stumble [v]"
TRIPY,"like tripe, worthless, also TRIPEY [adj TRIPIER, TRIPIEST]"
TRITE,"banal, commonplace [adj TRITER, TRITEST, TRITELY] / in Greek music, the third string of the lyre [n -S]"
TROAT,"to bellow like a roaring buck [v -ED, -ING, -S]"
TROGS,"TROG, to walk wearily [v]"
TROLL,"to fish with a slowly trailing line [v -ED, -ING, -S]"
TROMP,"to apply heavy foot pressure to something; to tread heavily [v -ED, -ING, -S]"
TROOP,"to move in a crowd [v -ED, -ING, -S]"
TROPE,"to provide with a metaphor [v TROPED, TROPING, TROPES]"
TROTS,"TROT, to proceed at a pace between walking and running [v]"
TROUT,a freshwater fish [n -S]
TROVE,a valuable discovery [n -S]
TROYS,"TROY, a system of weights [n]"
TRUCE,"to suspend hostilities by mutual agreement [v TRUCED, TRUCING, TRUCES]"
TRUCK,"to transport in a large vehicle for carrying goods [v -ED, -ING, -S]"
TRUED,"TRUE, to make true [v]"
TRUER,"TRUE, corresponding to fact, also TREW [adj]"
TRUES,"TRUE, to make true [v]"
TRUGS,"TRUG, a shallow wooden basket with a handle, used for carrying flowers or fruit [n]"
TRULY,"TRUE, corresponding to fact, also TREW [adv]"
TRUMP,"a card of a suit that ranks higher than any card of any other suit [n -S] / to outdo [v -ED, -ING, -S]"
TRUNK,the main stem of a tree [n -S]
TRUSS,"to secure tightly [v -ED, -ING, -ES]"
TRUST,"to place confidence in [v -ED, -ING, -S]"
TRUTH,conformity to fact or reality [n -S]
TRYER,"one who tries, also TRIER, TRIOR [n -S]"
TRYKE,"a tricycle, also TRIKE [n -S]"
TRYST,"to make an appointment with [v -ED, -ING, -S]"
TSKED,"TSK, to utter an exclamation of annoyance, also TSKTSK [v]"
TUBAL,"in the form of a tube, also TUBAR, TUBATE, TUBULAR [adj]"
TUBAR,"in the form of a tube, also TUBAL, TUBATE, TUBULAR [adj]"
TUBED,"TUBE, to fit with a long hollow pipe [v]"
TUBER,"an underground stem which has been modified for storage of nutrients, such as a potato [n -S]"
TUBES,"TUBE, to fit with a long hollow pipe [v]"
TUCKS,"TUCK, to fold under [v]"
TUFTS,"TUFT, to form into a bunched cluster [v]"
TUFTY,"abounding in tufts [adj TUFTIER, TUFTIEST, TUFTILY]"
TUISM,the theory that individuals have a second or other self [n -S]
TULIP,"any plant or flower of the bulbous liliaceous genus Tulipa, with showy, usually solitary, flowers [n -S]"
TUMID,swollen [adj TUMIDLY]
TUMPS,"TUMP, to drag [v]"
TUMPY,"hummocky [adj TUMPIER, TUMPIEST]"
TUNAS,"TUNA, a marine food fish [n]"
TUNED,"TUNE, to adjust to a proper pitch [v]"
TUNER,one who tunes e.g. pianos [n -S]
TUNES,"TUNE, to adjust to a proper pitch [v]"
TUNIC,a loose-fitting shirt-like garment [n -S]
TUNNY,a tuna fish [n TUNNIES]
TUPLE,"in computing, a row of values in a relational database [n -S]"
TURFS,"TURF, to cover with turf [v]"
TURFY,"covered with turf [adj TURFIER, TURFIEST]"
TURKS,"TURK, a young dynamic person [n]"
TURME,"a troop, also TURM [n -S]"
TURMS,"TURM, a troop, also TURME [n]"
TURNS,"TURN, to change direction, rotate [v]"
TUSKS,"TUSK, to gore with a long, pointed prominent tooth, also TUSH [v]"
TUSKY,"having prominent tusks [adj TUSKIER, TUSKIEST]"
TUTEE,one who is being tutored [n -S]
TUTOR,"to instruct privately [v -ED, -ING, -S]"
TUTTY,an impure zinc oxide [n TUTTIES]
TUYER,"a pipe through which air is forced into a blast furnace, also TUYERE, TWEER, TWIER, TWYER, TWYERE [n -S]"
TWANG,"to make a sharp, vibrating sound, also TWANGLE [v -ED, -ING, -S]"
TWANK,"to make a short twanging sound [v -ED, -ING, -S]"
TWEAK,"to pinch and twist sharply [v -ED, -ING, -S]"
TWEED,a coarse woollen fabric [n -S]
TWEEN,"a preteen, between childhood and teenage [n -S]"
TWEEP,one who uses Twitter [n -S]
TWEET,"to make a sound like a bird [v -ED, -ING, -S]"
TWERK,"to thrust the hips up and down from a squatting position [v -ED, -ING, -S]"
TWERP,"a small, impudent person, also TWIRP [n -S]"
TWICE,two times [adv]
TWIER,"a pipe through which air is forced into a blast furnace, also TUYERE, TUYER, TWEER, TWYER, TWYERE [n -S]"
TWIGS,"TWIG, to observe, understand [v]"
TWILL,"to weave with a diagonal pattern [v -ED, -ING, -S]"
TWILT,"to quilt [v -ED, -ING, -S]"
TWINE,"to entangle together [v TWINED, TWINING, TWINES]"
TWINK,"to blink [v -ED, -ING, -S]"
TWINS,"TWIN, to bring together in close association [v]"
TWINY,"resembling strong string [adj TWINIER, TWINIEST]"
TWIRL,"to rotate rapidly [v -ED, -ING, -S]"
TWIRP,"a small impudent person, also TWERP [n -S]"
TWIST,"to force around [v -ED, -ING, -S]"
TWITE,"the mountain linnet, a North European finch with streaked brown plumage [n -S]"
TWITS,"TWIT, to upbraid, taunt [v]"
TWIXT,"between, also BETWIXT [prep]"
TWYER,"a pipe through which air is forced into a blast furnace, also TUYERE, TUYER, TWEER, TWIER, TWYERE [n -S]"
TYEES,"TYEE, a food fish [n]"
TYERS,"TYER, one who ties [n]"
TYING,"TIE, to fasten [v]"
TYIYN,"a monetary unit in Kyrgyzstan and Uzbekistan, also TYIN [n -S]"
TYKES,"TYKE, a small child, also TIKE [n]"
TYLER,"a maker or layer of tiles, also TILER [n -S]"
TYMPS,"TYMP, the plate on a blast-furnace [n]"
TYNDE,"TIND, to kindle, also TEEND [v]"
TYPAL,"relating to a type, typical [adj]"
TYPED,"TYPE, to print with a typewriter [v]"
TYPES,"TYPE, to print with a typewriter [v]"
TYPEY,"conforming to the strict characteristics of a group, also TYPY [adj TYPIER, TYPIEST]"
TYPIC,"relating to a type, also TYPICAL [adj TYPICALLY]"
TYPOS,"TYPO, a typographical error [n]"
TYPPS,"TYPP, a unit of yarn size [n]"
TYPTO,"to work at Greek grammar [v -ED, -ING, -S]"
TYRAN,"to play the oppressor, also TYRANNE, TYRANT [v -ED, -ING, -S]"
TYRED,"TYRE, to supply a covering for a wheel [v]"
TYRES,"TYRE, to supply a covering for a wheel [v]"
TYTHE,"to pay a tenth part used as a small tax, also TITHE [v TYTHED, TYTHING, TYTHES]"
UDALS,"UDAL, a Scottish estate held by the old native form of freehold tenure without feudal superior, also ODAL [n]"
UDDER,a mammary gland [n -S]
UGGED,"UG, to arouse loathing in [v]"
ULCER,"to affect with a type of lesion, also ULCERATE [v -ED, -ING, -S]"
ULMIN,a brown amorphous substance found in decaying vegetation [n -S]
ULNAD,"toward the ulna, the inner and larger of the two bones of the forearm [adj]"
ULNAR,"pertaining to the ulna, the inner and larger of the two bones of the forearm [adj]"
UMBEL,a type of flower cluster [n -S]
UMBER,"to colour with a brown pigment [v -ED, -ING, -S]"
UMBLE,"as in umble pie, a pie made from the heart, entrails etc. of a deer [n -S]"
UMBRE,"the hammerhead, a brown bird related to the storks, also UMBRETTE [n -S]"
UMMED,"UM, to express doubt or hesitation, also UMM [v]"
UMPHS,"UMPH, oomph, energy [n]"
UMPTY,"designating an indefinitely large number, also UMPTEEN [adj UMPTIER, UMPTIEST]"
UMRAH,"a lesser pilgrimage to Mecca made separately or at the same time as the hajj, and consisting of a number of devotional rituals performed within the city, also UMRA [n -S]"
UMRAS,"UMRA, a lesser pilgrimage to Mecca made separately or at the same time as the hajj, and consisting of a number of devotional rituals performed within the city, also UMRAH [n]"
UNAPT,"unfit or unqualified, also INAPT, INEPT [adj]"
UNARM,"to deprive of arms [v -ED, -ING, -S]"
UNARY,consisting of a single element [adj]
UNBAG,"to let out of a bag [v UNBAGGED, UNBAGGING, UNBAGS]"
UNBAN,"to remove a prohibition against [v UNBANNED, UNBANNING, UNBANS]"
UNBAR,"to become unbarred [v UNBARRED, UNBARRING, UNBARS]"
UNBED,"to rouse from bed [v UNBEDDED, UNBEDDING, UNBEDS]"
UNBID,"not bid or commanded, also UNBIDDEN [adj]"
UNBOX,"to remove from a box [v -ED, -ING, -ES]"
UNCAP,"to remove the cap from [v UNCAPPED, UNCAPPING, UNCAPS]"
UNCLE,"to address as uncle [v UNCLED, UNCLING, UNCLES]"
UNCOS,"UNCO, a stranger, a piece of news [n]"
UNCOY,not coy [adj]
UNCUT,not cut [adj]
UNDAM,"to free water from a dam [v UNDAMMED, UNDAMMING, UNDAMS]"
UNDEE,"in heraldry, wavy, also OUNDY, UNDE, UNDY [adj]"
UNDER,in a lower position than [prep]
UNDID,"UNDO, to bring to ruin [v]"
UNDOS,"UNDO, a computer feature that allows the user to reverse the effect of the last action [n]"
UNDUE,exceeding what is appropriate or normal [adj UNDULY]
UNDUG,not dug [adj]
UNFED,not fed [adj]
UNFIT,"not fit [adj UNFITTER, UNFITTEST, UNFITLY] / to make unfit [v UNFITTED, UNFITTING, UNFITS]"
UNFIX,"to unfasten [v UNFIXED, UNFIXT or UNFIXED, UNFIXING, UNFIXES]"
UNGAG,"to remove a gag [v UNGAGGED, UNGAGGING, UNGAGS]"
UNGET,"to deny the begetting of [v UNGOT, UNGOTTEN, UNGETTING, UNGETS]"
UNGOD,"to deprive of divinity; to undeify [v UNGODDED, UNGODDING, UNGODS]"
UNGOT,"UNGET, to deny the begetting of [v]"
UNGUM,"to free from gum [v UNGUMMED, UNGUMMING, UNGUMS]"
UNHAT,"to remove a hat [v UNHATTED, UNHATTING, UNHATS]"
UNICA,"UNICUM, a unique example or specimen [n]"
UNIFY,"to make into a coherent whole [v UNIFIED, UNIFYING, UNIFIES]"
UNION,the state of being united [n -S]
UNITE,"to join together [v UNITED, UNITING, UNITES]"
UNITS,"UNIT, a specific quantity used as a standard of measurement [n]"
UNITY,the state of being one single entity [n UNITIES]
UNJAM,"to free from jamming [v UNJAMMED, UNJAMMING, UNJAMS]"
UNKED,"odd; strange; uncouth, also UNKET, UNKID [adj]"
UNKET,"odd; strange; uncouth, also UNKED, UNKID [adj]"
UNKID,"odd; strange; uncouth, also UNKED, UNKET [adj]"
UNLAW,"to deprive of the authority or character of law [v -ED, -ING, -S]"
UNLAY,"to untwist [v UNLAID, UNLAYING, UNLAYS]"
UNLED,not led [adj]
UNLID,"to take the lid off [v UNLIDDED, UNLIDDING, UNLIDS]"
UNLIT,not lit [adj]
UNMAN,"to deprive of courage [v UNMANNED, UNMANNING, UNMANS]"
UNMET,not met [adj]
UNMEW,"to release from confinement or restraint [v -ED, -ING, -S]"
UNMIX,"to separate from a mixture [v UNMIXED, UNMIXT, UNMIXING, UNMIXES]"
UNPAY,"to make good, do away by payment [v UNPAID, UNPAYING, UNPAYS]"
UNPEG,"to remove the pegs from [v UNPEGGED, UNPEGGING, UNPEGS]"
UNPEN,"to release from confinement [v UNPENNED, UNPENT, UNPENNING, UNPENS]"
UNPIN,"to remove the pins from [v UNPINNED, UNPINNING, UNPINS]"
UNRIG,"to divest of rigging [v UNRIGGED, UNRIGGING, UNRIGS]"
UNRIP,"to rip open [v UNRIPPED, UNRIPPING, UNRIPS]"
UNSAW,"UNSEE, to fail to see [v]"
UNSAY,"to retract something said [v UNSAID, UNSAYING, UNSAYS]"
UNSEE,"to fail to see [v UNSAW, UNSEEN, UNSEEING, UNSEES]"
UNSET,"to undo the setting of [v UNSET, UNSETTING, UNSETS]"
UNSEW,"to undo the sewing of [v UNSEWED, UNSEWN, UNSEWING, UNSEWS]"
UNSEX,"to deprive of sexual power [v -ED, -ING, -ES]"
UNSOD,"not boiled, not sodden, also UNSODDEN [adj]"
UNTAX,"to remit a tax on [v -ED, -ING, -ES]"
UNTIE,"to free from something that ties [v UNTIED, UNTYING or UNTIEING, UNTIES]"
UNTIL,up to the time of [prep]
UNTIN,"to take the tin from [v UNTINNED, UNTINNING, UNTINS]"
UNWED,"not wed, also UNWEDDED [adj]"
UNWET,not wet [adj]
UNWON,not won [adj]
UNZIP,"to open the zipper of [v UNZIPPED, UNZIPPING, UNZIPS]"
UPBOW,a type of stroke in playing a bowed instrument [n -S]
UPBYE,"a little further on, also UPBY [adv]"
UPDOS,"UPDO, an upswept hairdo [n]"
UPDRY,"to dry completely [v UPDRIED, UPDRYING, UPDRIES]"
UPEND,"to turn upside down [v -ED, -ING, -S]"
UPJET,"to spout up [v UPJETTED, UPJETTING, UPJETS]"
UPLAY,"to hoard [v UPLAID, UPLAYING, UPLAYS]"
UPLED,"UPLEAD, to lead up [v]"
UPLIT,"UPLIGHT, to light to a higher brightness [v]"
UPPED,"UP, to raise [v]"
UPPER,the part of a boot or shoe above the sole [n -S]
UPRAN,"UPRUN, to run up [v]"
UPRUN,"to run up [v UPRAN, UPRUN, UPRUNNING, UPRUNS]"
UPSET,"to overturn [v UPSET, UPSETTING, UPSETS]"
UPTIE,"to tie up [v UPTIED, UPTYING, UPTIES]"
URASE,"an enzyme that converts urea to a salt, also UREASE [n -S]"
URATE,"a salt of uric acid, found in e.g. bird droppings [n -S]"
URBAN,pertaining to a city [adj]
URDEE,"in heraldry, pointed, with a pattern of points, also URDE, URDY [adj]"
UREAL,"relating to urea, also UREIC [adj]"
UREAS,"UREA, a substance found in mammalian urine, the chief form in which nitrogenous waste is excreted [n]"
UREIC,"relating to urea, also UREAL [adj]"
URENT,burning [adj]
URGED,"URGE, to drive forward [v]"
URGER,one who urges [n -S]
URGES,"URGE, to drive forward [v]"
URINE,"to discharge a liquid containing body wastes [v URINED, URINING, URINES]"
URITE,an abdominal segment in insects [n -S]
URNAL,pertaining to an urn [adj]
URNED,"URN, to place in an urn [v]"
URSID,a meteor [n -S]
USAGE,"a generally accepted practice or procedure, also USANCE, USAUNCE [n -S]"
USERS,"USER, one that uses [n]"
USHER,"to escort people to seats [v -ED, -ING, -S]"
USING,"USE, to put into service [v]"
USUAL,"customary [adj USUALLY] / one's normal habit, drink etc. [n -S]"
USURP,"to seize and hold without legal authority [v -ED, -ING, -S]"
USURY,the lending of money at an exorbitant interest rate [n USURIES]
UTILE,"an African hardwood tree, a species of mahogany [n -S]"
UTTER,"complete [adj UTTERER, UTTEREST, UTTERLY] / to give audible expression to [v -ED, -ING, -S]"
UVEAL,"relating to the uvea, the posterior pigment-bearing layer of the pupil of the eye [adj]"
UVEAS,"UVEA, the posterior pigment-bearing layer of the pupil of the eye [n]"
VAGAL,pertaining to the vagus nerve [adj VAGALLY]
VAGUE,"indeterminate [adj VAGUER, VAGUEST, VAGUELY] / to be vague [v VAGUED, VAGUING, VAGUES]"
VAIRE,"charged or variegated with vair, squirrel fur, also VAIRY, VERREY, VERRY [adj]"
VAIRS,"VAIR, squirrel fur, much used in medieval times, to line and trim robes [n]"
VAIRY,"charged or variegated with vair, squirrel fur, also VAIRE, VERREY, VERRY [adj VAIRIER, VAIRIEST]"
VALES,"VALE, a broad valley [n]"
VALET,"to act as a personal servant to [v -ED, -ING, -S]"
VALID,"sound, legally adequate [adj VALIDER, VALIDEST, VALIDLY]"
VALUE,"to estimate the worth of [v VALUED, VALUING, VALUES]"
VALVE,"to provide with a device for controlling the flow of a liquid or gas [v VALVED, VALVING, VALVES]"
VAMPS,"VAMP, to repair or patch [v]"
VAMPY,"like a vamp, also VAMPISH [adj VAMPIER, VAMPIEST]"
VANED,having a vane [adj]
VANES,"VANE, a device for showing the direction of the wind [n]"
VANGS,"VANG, a guy-rope to steady a gaff [n]"
VAPER,"one who vapes, inhales nicotine vapour from an electronic cigarette [n -S]"
VAPID,"empty [adj VAPIDER, VAPIDEST, VAPIDLY]"
VAPOR,"mist, fume or smoke [n -S] / to turn into vapor, also VAPOUR [v -ED, -ING, -S]"
VAREC,"a kind of seaweed, aka kelp, also VARECH, VRAIC [n -S]"
VARVE,"a seasonal layer of sediment deposited in still water, used in establishing Ice Age chronology [n -S]"
VASAL,"of or like a vas, a vessel, tube or duct carrying liquid [adj]"
VASES,"VASE, a container used for holding flowers [n]"
VASTS,"VAST, a vastness [n]"
VATIC,"pertaining to a prophet, also VATICAL [adj]"
VATUS,"VATU, a monetary unit of Vanuatu [n]"
VAULT,"to leap over, also VAUT, VAUTE, VAWTE [v -ED, -ING, -S]"
VAUNT,"to boast [v -ED, -ING, -S]"
VEALS,"VEAL, the meat of a calf [n]"
VEERS,"VEER, to change direction [v]"
VEERY,"an American thrush, common in the northern United States and Canada [n VEERIES]"
VEGES,"VEG, a vegetable [n]"
VEGIE,"(colloq.) of school subjects, trivial, not taxing, also VEGGIE [adj VEGIER, VEGIEST / a vegetarian, also VEGO [n -S]"
VEILS,"VEIL, to cover with a veil [v]"
VEILY,"like a veil, diaphanous [adj VEILIER, VEILIEST]"
VEINS,"VEIN, to fill with tubular blood vessels [v]"
VEINY,"full of veins, also VEINOUS, VENOSE [adj VEINIER, VEINIEST]"
VELAR,a sound produced by the back of the tongue [n -S]
VELLS,"VELL, the fourth stomach of a calf [n]"
VENAL,open to bribery [adj VENALLY]
VENDS,"VEND, to sell [v]"
VENIN,"any of various toxic substances in venom, also VENINE [n -S]"
VENOM,"to inject with a poisonous secretion [v -ED, -ING, -S]"
VENTS,"VENT, to provide with an opening [v]"
VENUE,"the chosen location for an event, also VENEWE, VENEY [n -S]"
VERBS,"VERB, a part of speech that signifies action [n]"
VERGE,"to come near [v VERGED, VERGING, VERGES]"
VERRY,"charged or variegated with vair, squirrel fur, also VAIRE, VAIRY, VERREY [adj]"
VERSE,"to write in a poetic form [v VERSED, VERSING, VERSES]"
VERTU,"a love or taste for the fine arts, also VIRTU [n -S]"
VERVE,"the state of being lively, vivacity [n -S]"
VESTS,"VEST, to place authority in [v]"
VETCH,any of a number of leguminous flowers [n -ES]
VEXED,"VEX, to distress or annoy [v]"
VEXER,one who vexes [n -S]
VEXES,"VEX, to distress or annoy [v]"
VEXIL,"the web or vane of a feather, also VEXILLUM [n -S]"
VIALS,"VIAL, to put in a small container for liquids [v]"
VIAND,an item of food; esp. a choice or tasty dish [n -S]
VIBEY,"lively, vibrant [adj VIBIER, VIBIEST]"
VICAR,a church official [n -S]
VICED,"VICE, to grip with a special tool [v]"
VICES,"VICE, to grip with a special tool [v]"
VICHY,a type of mineral water [n VICHIES]
VIDEO,"to make a video recording [v -ED, -ING, -S]"
VIERS,"VIER, one who vies [n]"
VIEWS,"VIEW, to look at [v]"
VIEWY,"showy; having views that are considered odd [adj VIEWIER, VIEWIEST]"
VIFDA,"in Shetland, meat hung and dried without salt, also VIVDA [n -S]"
VIGIL,a period of watchfulness maintained during normal sleeping hours [n -S]
VIGOR,"active strength or force, also VIGOUR [n -S]"
VILER,"VILE, odious [adj]"
VILLS,"VILL, a township, or feudal territorial unit [n]"
VINAL,a synthetic textile fibre [n -S]
VINER,a wine grower [n -S]
VINEW,"to become mouldy [v -ED, -ING, -S]"
VINIC,derived from wine [adj]
VINTS,"VINT, to strip of grapes, also VINTAGE [v]"
VINYL,a type of plastic [n -S]
VIOLA,"a tenor fiddle, slightly bigger than the violin, tuned a fifth lower [n -S]"
VIOLS,"VIOL, any member of a class of stringed instruments, forerunners of the violin class [n]"
VIPER,a venomous snake [n -S]
VIRAL,relating to or caused by a virus [adj VIRALLY] / a sales promotion carried out by viral marketing [n -S]
VIRED,"VIRE, to transfer funds by virement [v]"
VIREO,"any one of numerous species of American singing birds, aka greenlet [n -S]"
VIRES,"VIRE, to transfer funds by virement [v]"
VIRID,bright green [adj]
VISAS,"VISA, to stamp with an official endorsement [v]"
VISED,"VISE, to hold in a clamping device [v]"
VISES,"VISE, to hold in a clamping device [v]"
VISIT,"to call upon someone [v -ED, -ING, -S]"
VISNE,"the chosen location for an event, also VENUE, VENEWE, VENEY [n -S]"
VISOR,"to provide with a projecting brim, also VIZOR [v -ED, -ING, -S]"
VITAL,necessary to life [adj VITALLY] / an interior organ vital for life [n -S]
VITRO,"relating to a test tube, as in in vitro [adj]"
VIVDA,"in Shetland, meat hung and dried without salt, also VIFDA [n -S]"
VIVES,a disease of horses [n VIVES]
VIVID,"strikingly bright or intense [adj VIVIDER, VIVIDEST, VIVIDLY]"
VIXEN,a shrewish woman [n -S]
VIZOR,"to provide with a projecting brim, also VISOR [v -ED, -ING, -S]"
VLOGS,"VLOG, to keep a video blog [v]"
VOCAL,"uttered by the voice, also VOCULAR [adj VOCALLY] / a sound uttered by the voice [n -S]"
VODOU,"West Indian black magic, also VAUDOO, VAUDOUX, VODOUN, VODUN, VOODOO, VOUDON, VOUDOU, VOUDOUN [n -S]"
VODUN,"West Indian black magic, also VAUDOO, VAUDOUX, VODOU, VODOUN, VOODOO, VOUDON, VOUDOU, VOUDOUN [n -S]"
VOGUE,"to perform to pop music a stylized dance [v VOGUED, VOGUEING or VOGUING, VOGUES]"
VOICE,"to express or utter [v VOICED, VOICING, VOICES]"
VOIDS,"VOID, to nullify of legal force or effect [v]"
VOLAR,pertaining to the palm or sole [adj]
VOLED,"VOLE, to win all tricks in a card game [v]"
VOLES,"VOLE, to win all tricks in a card game [v]"
VOLET,a short veil worn at the back of the head [n -S]
VOLTS,"VOLT, to make a sudden leap [v]"
VOMIT,"to eject the contents of the stomach through the mouth [v -ED, -ING, -S]"
VOTED,"VOTE, to express an opinion [v]"
VOTER,one who votes [n -S]
VOTES,"VOTE, to express an opinion [v]"
VOUCH,"to give one's personal guarantee [v -ED, -ING, -ES]"
VOUGE,"a weapon carried by foot-soldiers in the 14th century, consisting of a blade on a staff, also VOULGE [n -S]"
VOWED,"VOW, to make a solemn promise [v]"
VOWEL,"a speech-sound produced by the unimpeded passage of the breath [n -S] / to use as a speech sound [v VOWELLED, VOWELLING, VOWELS]"
VOWER,one who makes a vow [n -S]
VRAIC,"a kind of seaweed, aka kelp, also VAREC, VARECH [n -S]"
VRILS,"VRIL, electric fluid represented as the common origin of the forces in matter [n]"
VROOM,"to run an engine at high speed, also VAROOM [v -ED, -ING, -S]"
VUGGS,"VUGG, a small cavity in a rock, also VUG, VUGH [n]"
VUGGY,"abounding in vugs, also VUGHY [adj VUGGIER, VUGGIEST]"
VUGHS,"VUGH, a small cavity in a rock, also VUG, VUGG [n]"
VUGHY,"abounding in vugs, also VUGGY [adj VUGHIER, VUGHIEST]"
VULNS,"VULN, to wound; pierce with a weapon [v]"
VYING,contending [adj VYINGLY] / the act of vying [n -S]
WAACS,"WAAC, a member of the Women's Auxiliary Army Corps [n]"
WACKO,"a mad or eccentric person, also WACK, WHACKO [n -ES or -S]"
WACKS,"WACK, an eccentric, mad, or crazy person; a crackpot, also WACKO, WHACKO [n]"
WACKY,"eccentric, also WHACKY [adj WACKIER, WACKIEST, WACKILY]"
WADDS,"WADD, an earthy ore of manganese, also WADT [n]"
WADED,"WADE, to walk through water [v]"
WADER,one that wades [n -S]
WADES,"WADE, to walk through water [v]"
WADGE,"a large or roughly-cut portion, also WODGE [n -S]"
WADTS,"WADT, an earthy ore of manganese, also WADD [n]"
WAFER,"to fasten with an adhesive strip [v -ED, -ING, -S]"
WAFTS,"WAFT, to carry lightly in the air [v]"
WAGED,"WAGE, to engage in or carry on [v]"
WAGER,"to make a bet [v -ED, -ING, -S]"
WAGES,"WAGE, to engage in or carry on [v]"
WAGON,"to transport in a four wheeled horse-drawn vehicle, also WAGGON [v -ED, -ING, -S]"
WAIDE,"WEIGH, to determine the weight of [v]"
WAIFS,"WAIF, to cast up as a waif [v]"
WAILS,"WAIL, to utter a long, mournful cry [v]"
WAIRS,"WAIR, to spend [v]"
WAIST,the narrowest part of the human trunk [n -S]
WAITS,"WAIT, to remain in readiness [v]"
WAIVE,"to refrain from claiming [v WAIVED, WAIVING, WAIVES]"
WAKED,"WAKE, to rouse from sleep [v]"
WAKEN,"to wake [v -ED, -ING, -S]"
WAKER,"one that wakens, also WAKENER [n -S]"
WAKES,"WAKE, to rouse from sleep [v]"
WALDO,a gadget for manipulating objects remotely [n -S or -ES]
WALED,"WALE, to mark with welts [v]"
WALER,"in India, an Australian-bred saddle-horse [n -S]"
WALES,"WALE, to mark with welts [v]"
WALIE,sturdy [adj]
WALKS,"WALK, to advance on foot [v]"
WALLS,"WALL, to enclose in an upright structure [v]"
WALTY,"inclined to tip over or lean [adj WALTIER, WALTIEST]"
WALTZ,"to dance in three-four time [v -ED, -ING, -ES]"
WAMED,"having a wame, womb [adj]"
WANDS,"WAND, a slender rod [n]"
WANED,"WANE, to decrease in size [v]"
WANES,"WANE, to decrease in size [v]"
WANEY,"waning in some parts, also WANY [adj WANIER, WANIEST]"
WANGS,"WANG, a leather thong [n]"
WANLY,"WAN, pale [adv]"
WANTS,"WANT, to have a desire for [v]"
WANTY,"a surcingle, or strap of leather, used for binding a load upon the back of a beast [n WANTIES]"
WARDS,"WARD, to turn aside [v]"
WARED,"WARE, to beware of [v]"
WARES,"WARE, to beware of [v]"
WAREZ,illegally copied computer software which has had its protection codes deactivated [n]
WARMS,"WARM, to make warm [v]"
WARNS,"WARN, to notify in advance [v]"
WARPS,"WARP, to twist out of shape [v]"
WARTS,"WART, a hard growth on the skin [n]"
WARTY,"covered with warts [adj WARTIER, WARTIEST]"
WASES,"WASE, a small bundle of hay or straw for resting one's head [n]"
WASHY,"watery, damp [adj WASHIER, WASHIEST, WASHILY]"
WASMS,"WASM, an obsolete belief; an out-of-fashion 'ism' [n]"
WASPS,"WASP, a stinging insect [n]"
WASPY,"like a wasp, waspish [adj WASPIER, WASPIEST, WASPILY]"
WASTE,"to consume lavishly or thoughtlessly, also WAST [v WASTED, WASTING, WASTES]"
WATCH,"to keep in view [v -ED, -ING, -ES]"
